citation,source_id,pubmed_id
"Charlwood JD, Birley MH, Dagoro H, Paru R, Holmes PR. Assessing Survival Rates of Anopheles-Farauti (Diptera, Culicidae) from Papua-New-Guinea. Journal of Animal Ecology. 1985",9001,NA
"Chatterjee S, Chandra G. Role of Anopheles subpictus as a Primary Vector of Malaria in an area in India. Jpn J Trop Med Hyg. 2000",9002,NA
"Dev V, Phookan S, Sharma VP, Anand SP. Physiographic and entomologic risk factors of malaria in Assam, India. Am J Trop Med Hyg. 2004",9003,15516642
"Dutta P, Bhattacharyya DR, Khan SA, Sharma CK, Mahanta J. Feeding patterns of Anopheles dirus, the major vector of forest malaria in north east India. Southeast Asian J Trop Med Public Health. 1996",9004,9280007
"Elyazar IR, Sinka ME, Gething PW, Tarmidzi SN, Surya A, Kusriastuti R, et al. The distribution and bionomics of anopheles malaria vector mosquitoes in Indonesia. Adv Parasitol. 2013",9005,23876873
"Graves PM, Burkot TR, Saul AJ, Hayes RJ, Carter R. Estimation of Anopheline Survival Rate, Vectorial Capacity and Mosquito Infection Probability from Malaria Vector Infection- Rates in Villages Near Madang, Papua-New-Guinea. Journal Of Applied Ecology. 1990",9006,NA
"Gunasekaran K, Jambulingam P, Das PK. Distribution of indoor-resting Anopheles fluviatilis in human dwellings and its implication on indoor residual spray. Indian J Malariol. 1995",9007,8549839
"Gunathilaka N, Denipitiya T, Hapugoda M, Abeyewickreme W, Wickremasinghe R. Determination of the foraging behaviour and blood meal source of malaria vector mosquitoes in Trincomalee District of Sri Lanka using a multiplex real time polymerase chain reaction assay. Malar J. 2016",9008,27118141
"Ismail IAH, Notananda V, Schapens J. Studies of Malaria and Responses of Anopheles balabacensis and Anopheles minimus to DDT residual spraying in Thailand. Geneva",9009,NA
"Mahmood F, Reisen WK. Duration of the gonotrophic cycles of Anopheles culifacies Giles and Anopheles stephensi Liston, with observations on reproductive activity and survivorship during winter in Punjab Province, Pakistan. Mosquito News. 1981",9010,NA
"Ndoen E, Wild C, Dale P, Sipe N, Dale M. Dusk to dawn activity patterns of anopheline mosquitoes in West Timor and Java, Indonesia. Southeast Asian J Trop Med Public Health. 2011;42(3):550-61.",9011,20846447
"Singh N, Mishra AK, Chand SK, Sharma VP. Population dynamics of Anopheles culicifacies and malaria in the tribal area of central India. J Am Mosq Control Assoc. 1999",9012,10480116
"Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016",9013,27405767
"Charlwood JD, Graves PM, Birley MH. Capture-Recapture Studies with Mosquitos of the Group of Anopheles-Punctulatus Donitz (Diptera, Culicidae) from Papua- New-Guinea. Bulletin of Entomological Research. 1986",9014,NA
"Charlwood JD, Graves PM, Alpers MP. The ecology of the Anopheles punctulatus group of mosquitoes from Papua New Guinea: a review of recent work. PNG Med J. 1986",9015,3463014
Wharton RH. The habits of adult mosquitoes in Malaya. I. Observations on anophelines in window-trap huts and at cattle-sheds. Ann Trop Med Parasitol. 1951,9016,14878396
"Hobbs JH, Sexton JD, St JY, Jacques JR. The biting and resting behavior of Anopheles albimanus in northern Haiti. J Am Mosq Control Assoc. 1986	2(2):150-3.",9017,3507484
"Mekuria Y, Granados R, Tidwell MA, Williams DC, Wirtz RA, Roberts DR. Malaria transmission potential by Anopheles mosquitoes of Dajabon, Dominican Republic. J Am Mosq Control Assoc. 1991	7(3):456-61.",9018,1791456
"Molez JF, Desenfant P, Jacques JR. Bio-ecology of Anopheles albimanus Wiedeman, 1820 (Diptera : Culicidae) in Haiti (Hispaniola). Bulletin de la Societe de Pathologie Exotique. 1998;91(4):334-9.",9019,9846229
"Muirhead-Thomson RC, Mercier EC. Factors in malaria transmission by Anopheles albimanus in Jamaica. Part I. Ann Trop Med Parasitol. 1952	46(2):103-16",9020,12986695
"Ricciardi ID. Definicion de los habitos alimentares de anophelinos de Guatemala y Republica Dominicana, por tecnicas de gel-precipitation. Rev Microbiol. 1971	2(3):107-12.",9021,NA
"Rodriguez MH, Bown DN, Arredondo-Jimenez JI, Villarreal C, Loyola EG, Frederickson CE. Gonotrophic cycle and survivorship of Anopheles albimanus (Diptera: Culicidae) in southern Mexico. J Med Entomol. 1992	29(3):395-9.",9022,1625288
"Rua GL, Quinones ML, Velez ID, Zuluaga JS, Rojas W, Poveda G, et al. Laboratory estimation of the effects of increasing temperatures on the duration of gonotrophic cycle of Anopheles albimanus (Diptera: Culicidae). Mem Inst Oswaldo Cruz. 2005	100(5):515-20.",9023,16184229
"Ritthison W, Tainchum K, Manguin S, Bangs MJ, Chareonviriyaphap T. Biting patterns and host preference of Anopheles epiroticus in Chang Island, Trat Province, eastern Thailand. J Vector Ecol. 2014;39(2):361-71.",9024,25424266
"Singh N, Mishra AK, Chand SK, Sharma VP. Population dynamics of Anopheles culicifacies and malaria in the tribal area of central India. J Am Mosq Control Assoc. 1999;15(3):283-90.",9025,10480116
"Briet, Impoinvil et al submitted",9026,NA
"Desenfant P. R¶le et bioÚcologie de A. albimanus (Wiedemann, 1820) vecteur du paludisme en Haiti: UniversitÚ de Paris-Sud; 1988.",9027,NA
"Knutson, K.L. Sleep duration, quality, and timing and their associations with age in a community without electricity in Haiti, Am J Hum. Biol, 2014, 26: 80-86.",9028,24243559
"Bradley J, Lines J, Fuseini G, Schwabe C, et al. 2015. Outdoor biting by Anopheles mosquitoes on Bioko Island does not currently impact on malaria control. Malaria Journal 14: 170",9029,25895674
"Cooke MK, Kahindi SC, Oriango RM, Owaga C, Ayoma E, et al. 2015. 'A bite before bed': exposure to malaria vectors outside the times of net use in the highlands of western Kenya. Malaria Journal 14: 259",9030,26109384
"Monroe A, Asamoah O, Lam Y, et al. 2015. Outdoor-sleeping and other night-time activities in northern Ghana: implications for residual transmission and malaria prevention. Malaria Journal 14: 35",9031,25627277
"Ototo EN, Mbugi JP, Wanjala CL, Zhou G, Githeko AK, Yan G. 2015. Surveillance of malaria vector population density and biting behaviour in western Kenya. Malaria Journal 14: 244",9032,26082138
"Borchers C, Randler C. 2012. Sleep-wake cycles of adolescents in Cote d'Ivoire: influence of age, gender, religion and occupation. Chronobiology International 20: 1366-1375",9033,NA
"Killeen GF, Kihonda J, Lyimo E, Oketch FR, et al. 2006. Quantifying behavioural interactions between humans and mosquitoes: Evaluating the protective efficacy of insecticidal nets against malaria transmission in rural Tanzania. BMC Infectious Diseases 6: 161",9034,17096840
"Beale AD, Pedrazzoli M, Goncalves, DSB, Beijamini F, Duarte NE, Egan KJ, Knutson KL, von Schantz M, Roden LC. 2017. Comparison between an African town and a neighbouring village shows delayed, but not decreased, sleep during the early stages of urbanisation. Scientific Reports 7: 5697",9035,NA
"Bayoh MN, Walker ED, Kosgei J, et al. 2014. Persistently high estimates of late night, indoor exposure to malaria vectors despite high coverage of insecticide treated nets. Parasites & Vectors 7: 380",9036,25141761
"Dambach P, Schleicher M, Korir P, et al. 2018. Nightly biting cycles of Anopheles species in rural Northwestern Burkina Faso. Journal of Medical Entomology 55: 1027-1034 ",9037,29635478
"Ferreira Maia M, et al. 2016. Acrossover study to evaluate the diversion of malaria vectors in a community with incomplete coverage of spatial repellents in the Kilombero Valley, Tanzania. Parasites & Vectors 9: 451",9038,27527601
"Kabbale F, Akol A, Kaddu J, et al. 2013. Biting patterns and seasonality of anopheles gambiae sensu lato and anopheles funestus mosquitoes in Kamuli District, Uganda. Parasites & Vectors 6: 340`",9039,24304974
"Kenea O, Balkew M, Tekie H, et al. 2016. Human-biting activities of Anopheles species in south-central Ethiopia. Parasites & Vectors 9: 527",9040,27716416
"Mwesigwa J, Achan J, Di Tanna GL, Affara M, et al. 2017. Residual malaria transmission dynamics varies across The Gambia despite high coverage of control interventions. PLoS One 12: e0187059",9041,29095834
"Ojuka P, Boum II Y, Denoeun-Ndam et al 2015 Early biting and insecticide resistance in the malaria vector Anopheles might compromise the effectiveness of vector control intervention in Southwestern Uganda. Malaria Journal 14: 148",9042,25879539
"Sande S, Zimba M, Chinwada P et al. 2016. Biting behaviour of Anopheles funestus populations in Mutare and Mutasa districts, Manicaland province, Zimbabwe: Implications for the malaria control programme. Journal of Vector Borne Disease 53: 118-126",9043,NA
"Wat'senga F, Zola Manzambi E, Lunkula A, et al. 2018. Nationwide insecticide resistance status and biting behaviour of malaria vector species in the Democratic Republic of Congo. Malaria Journal 17: 129",9044,29580247
"Sherrard-Smith, E., J. E. Skarp, A. D. Beale, C. Fornadel, L. C. Norris, S. J. Moore, S. Mihreteab, J. D. Charlwood, S. Bhatt, P. Winskill, J. T. Griffin, and T. S. Churcher. 2019. Mosquito feeding behavior and how it influences residual malaria transmission across Africa, Proc Natl Acad Sci U S A.",9045,31285346
"Catangui FP. Bionomics of malaria vectors in the Philippines. In: Harinasuta C RD, editor. Proceedings of the 12th SEAMIC Workshop on Problems of Malaria in the SEAMIC Countries. Tokyo: Southeast Asian Medical Information Center	 1985. p. 83-91",9049,NA
"Van Bortel W, Chinh VD, Berkvens D, Speybroeck N, Trung HD, Coosemans M. Impact of insecticide-treated nets on wild pyrethroid resistant Anopheles epiroticus population from southern Vietnam tested in experimental huts. Malar J. 2009",9046,19874581
"Kanda T, Takai K, Chinng GL, Cheong WH, Sucharit S. Hybridization and some biological facts of seven strains of the Anopheles leucosphyrus group (Reid, 1968). . Medical Entomology and Zoology 1981	32(4):321-9",9047,NA
"Phasomkusolsil S, Tawong J, Monkanna N, Pantuwatana K, Damdangdee N, Khongtak W, et al. Maintenance of mosquito vectors: effects of blood source on feeding, survival, fecundity, and egg hatching rates. Journal of Vector Ecology. 2013	38(1):38-45",9048,23701605
Catangui FP. Studies on the gonotrophic cycle of Anopheles minimus flavirostris and the application of physiological age grading technique on the same species. Southeast Asian J Trop Med Public Health. 1971,9050,4400546
"Hii JL, Birley MH, Sang VY. Estimation of survival rate and oviposition interval of Anopheles balabacensis mosquitoes from mark-recapture experiments in Sabah, Malaysia. Med Vet Entomol. 1990	4(2):135-40.",9051,2132976
"Salazar NP. The malaria situation in The Philippines: a critique. Alabang, Muntinlupa, Metro Manila. Manila: Research Institute for Tropical Medicine,	 1989.",9052,NA
"Akhtar, N., Nagpal, B.N., Kapoor, N., Srivastava, A. and Valecha, N. (2016). Role of An. Culicifacies as a vector of malaria in changing ecological scenario of northeastern states of India. Indian Journal of Medical Research, 53(3):264¹71.",9053,27681550
"Ali, N., Noreen, S., Khan, K. and Wahid, S. (2015). Population dynamics of mosquitoes and malaria vector incrimination in district Charsadda, Khyber Pakhtunkhwa (KP) Pakistan. Acta Tropica, 141(Part A):25¹31.",9054,25255965
"Chand, G., Chaudhary, N.K., Soan, V., Kaushal, L.S., Sharma, R.K. and Singh, N. (2015). Transmission dynamics & epidemiology of malaria in two tribal districts in Madhya Pradesh, India. Indian Journal of Medical Research, 142:556¹66.",9055,26139772
"Chaturvedi, N., Krishna, S., Bharti, P.K., Deepak, G., Chauhan, V.S. and Singh, N. (2017). Prevalence of afebrile parasitaemia due to Plasmodium falciparum & P. vivax in district Balaghat (Madhya Pradesh): Implication for malaria control. Indian Journal of Medical Research, 146(2):260¹6.",9056,29265028
"Dharmasiri, A.G., Perera, A.Y., Harishchandra, J., Herath, H., Aravindan, K., Jayasooriya, H.T.R., Ranawaka, G.R. and Hewavitharane, M. (2017). First record of Anopheles stephensi in Sri Lanka: a potential challenge for prevention of malaria reintroduction. Malaria Journal, 16(1):326.",9057,28797253
"Dhiman, S., Goswami, D., Rabha, B., Yadav, K., Chattopadhyay, P. and Veer, V. (2015). Absence of asymptomatic malaria in a cohort of 133 individuals in a malaria endemic area of Assam, India Infectious Disease epidemiology. BMC Public Health, 15(1):919.",9058,26384971
"Gunasekaran, K., Sahu, S.S. and Jambulingam, P. (2014). Estimation of vectorial capacity of Anopheles minimus theobald & An. fluviatilis james (Diptera: Culicidae) in a malaria endemic area of Odisha State, India. Indian Journal of Medical Research, 140:653¹9.",9059,25579148
"Gunathilaka, N., Denipitiya, T., Hapugoda, M., Abeyewickreme, W. and Wickremasinghe, R. (2016). Determination of the foraging behaviour and blood meal source of malaria vector mosquitoes in Trincomalee District of Sri Lanka using a multiplex real time polymerase chain reaction assay. Malaria Journal, 15(1):1¹10.",9060,27118141
"Hoosh-Deghati, H., Dinparast-Djadid, N., Moin-Vaziri, V., Atta, H., Raz, A.A., Seyyed-Tabaei, S.J., Maleki-Ravasan, N., Alipour, H., Zakeri, S. and Azar-Gashb, E. (2017). Composition of Anopheles species collected from selected malarious areas of Afghanistan and Iran. Journal of Arthropod-Borne Diseases, 11(3):354¹62.",9061,29322052
"Kasinathan, G., Sahu, S.S., Nallan, K., Tharmalingam, V., Swaminathan, S., Behera, K.P., Pradhan, M.M. and Purusothaman, J. (2019). Comparative efficacy of two rounds of indoor residual spraying of DDT 75% @ 1g/m 2 with that of DDT 50% @ 1g/m 2 against the malaria vectors in India. Acta Tropica, 194:123¹34.",9062,30943380
"Maghsoodi, N., Ladonni, H. and Basseri H.R. (2014). Species composition and seasonal activities of malaria vectors in an area at reintroduction prevention stage, Khuzestan, South-Western Iran. Journal of Arthropod-Borne Diseases, 9(1):60¹70.",9063,26114144
"Mishra, A.K., Bharti, P.K., Kareemi, T.I., Chand, S.K., Tidgam, A.S., Sharma, R.K. and Singh, N. (2019). Field evaluation of zero vector durable lining to assess its efficacy against malaria vectors and malaria transmission in tribal areas of the Balaghat district of central India. Transactions of the Royal Society of Tropical Medicine and Hygiene, 113:623¹31.",9064,31251386
"Mittal, P.K., Sood, R.D., Kapoor, N., Razdan, R.K. and Dash A.P. (2012). Field evaluation of Icon½ Life, a long-lasting insecticidal net (LLIN) against Anopheles culicifacies and transmission of malaria in District Gautam Budh Nagar (Uttar Pradesh), India. Journal of Vector Borne Diseases, 49(3):181¹7.",9065,23265376
"Nanda, N., Singh, S.P., Prajapati, B.K., Ranjan, K., Kar, N.P., Sharma, S.K. and Valecha, N. (2017). Entomological determinants of malaria transmission in an epidemic prone area of District Nuh ( Haryana state ), India. Journal of vector borne diseases, 334¹40.",9066,29460863
"Rath, A., Prusty, M.R., Das, M., Mahapatra, N., Tripathy, H. and Hazra, R.K. (2015). A shift in resting habitat and feeding behavior of Anopheles fluviatilis sibling species in the Keonjhar district of Odisha, India. Transactions of the Royal Society of Tropical Medicine and Hygiene, 109(11):730¹7.",9067,26464234
"Sahu, S.S., Gunasekaran, K., Krishnamoorthy, N., Vanamail, P., Mathivanan, A., Manonmani A. and Jambulingam, P. (2017). Bionomics of Anopheles fluviatilis and Anopheles culicifacies (Diptera: Culicidae) in relation to malaria transmission in east-central India. Journal of Medical Entomology, 54(4):821¹30.",9068,28399290
"Sahu, S.S., Thankachy, S., Dash, S., Nallan, K., Swaminathan, S., Kasinathan, G. and Purushothaman, J. (2020). Evaluation of long-lasting indoor residual spraying of deltamethrin 62.5 SC-PE against malaria vectors in India. Malaria Journal, 19(1):19.",9069,31937301
"Saifi, M.A., Alyousif, M.S. and Amoudi, M.A. (2016). Anopheline species and their Plasmodium infection status in Aligarh, India. Saudi Journal of Biological Sciences, 23(5):649¹53. ",9070,27579016
"Sanei-Dehkordi, A., Soleimani-Ahmadi, M., Jaberhashemi, S.A. and Zare, M. (2019). Species composition, seasonal abundance and distribution of potential anopheline vectors in a malaria endemic area of Iran: Field assessment for malaria elimination. Malaria Journal, 18(1):1¹9.",9071,31046758
"Saxena, R., Nagpal, B.N., Singh, V.P., Srivastava, A., Dev, V., Sharma, M.C., Gupta, H.P., Tomar, A.S., Sharma, S. and Gupta, S.K. (2014). Impact of deforestation on known malaria vectors in Sonitpur district of Assam, India. Journal of vector borne diseases, 51(3):211¹5. ",9072,25253214
"Singh, N., Chand, S.K., Bharti, P.K., Singh, M.P., Chand, G., Mishra, A.K., Shukla, M.M., Mahulia, M.M. and Sharma RK. (2013). Dynamics of Forest Malaria Transmission in Balaghat District, Madhya Pradesh, India. PLoS ONE, 8(9): e73730. doi:10.1371/journal.pone.0073730",9073,24023900
"Singh, N., Mishra, A.K., Chand, S.K., Bharti, P.K., Singh, M.P., Nanda, N., Singh, O.P., Sodagiri, K. and Udhyakumar, V. (2015). Relative abundance and Plasmodium infection rates of malaria vectors in and around Jabalpur, a malaria endemic region in Madhya Pradesh state, central India. PLoS One, 10(5):1¹17",9074,25970291
"Singh, N., Mishra, A.K., Saha, K.B., Bharti, P.K., Sisodia, D.S., Sonal, G.S., Dhariwal, A.C. and Sharma, R.K. (2018). Malaria control in a tribal area of central India using existing tools. Acta Tropica, 181:60¹8.",9075,29247618
"Swami, K.K. and Srivastava, M. (2012). Blood meal preference of some anopheline mosquitoes in command and non-command areas of Rajasthan, India. Journal of Arthropod-Borne Diseases, 6(2):98¹103.",9076,23378966
"Uragayala, S., Kamaraju, R., Tiwari, S.N., Sreedharan, S., Ghosh, S.K. and Valecha, N. (2018). Village-scale (Phase III) evaluation of the efficacy and residual activity of SumiShield½ 50 WG (Clothianidin 50%, w/w) for indoor spraying for the control of pyrethroid-resistant Anopheles culicifacies Giles in Karnataka state, India. Tropical Medicine and International Health, 23:605¹15.",9077,29602196
"Yeryan, M., Basseri, H.R., Hanafi-Bojd, A.A., Raeisi, A., Edalat, H. and Safari, R. (2016). Bio-ecology of malaria vectors in an endemic area, Southeast of Iran. Asian Pacific Journal of Tropical Medicine, 9(1):32¹8.",9078,26851783
"Herrera-Varela, M., Orjuela, L.I., Pe±alver, C., Conn, J.E. and Qui±ones, M.L. (2014). Anopheles species composition explains differences in Plasmodium transmission in La Guajira, northern Colombia. Mem¾rias do Instituto Oswaldo Cruz, 109(7):955û9.",9079,25411002
"Orjuela, L.I., Ahumada, M.L., Avila, I., Herrera, S., Beier, J.C. and Qui±ones, M.L. (2015). Human biting activity, spatial-temporal distribution and malaria vector role of Anopheles calderoni in the southwest of Colombia. Malaria Journal, 14(1):1û9. ",9080,26104785
"Ahumada, M.L., Orjuela, L.I., Pareja, P.X., Conde, M., Cabarcas, D.M., Cubillos, E.F.G., Lopez, J.A., Beier, J.C., Herrera, S. and Qui±ones, M.L.  (2016). Spatial distributions of Anopheles species in relation to malaria incidence at 70 localities in the highly endemic Northwest and South Pacific coast regions of Colombia. Malaria Journal, 15(1):1û16.",9081,27515166
"Ryan, S.J., Lippi, C.A., Boersch-Supan, P.H., Heydari, N., Silva, M., Adrian, J., Noblecilla, L.F., Ayala, E.B., Encalada, M.D., Larsen, D.A., Krisher, J.T., Krisher, L., Fregosi, L. and Stewart-Ibarra, A.M. (2017). Quantifying seasonal and diel variation in Anopheline and Culex human biting rates in Southern Ecuador. Malaria Journal, 16(1):1û10.",9082,29166907
